index,transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,is_anomalie,annee,mois,trimestre,semaine-jour,montant_eur_verifie,categorie_risque,total_credit,total_debit,solde_net,nb_transaction,montant_moyen,nb_produit,taux_rejet
10,TXN000701,CLI0009,2023-11-08 18:40:00,2407.48,EUR,1.0,2407.48,Depot especes,Compte Epargne,Nice-Massena,Credit,Rejete,645.0,Standard,10289.81,False,2023,11,4,2,2407.48,Meduim,14123.14,-7848.55,21971.69,13,482.66,6,7.63
11,TXN001018,CLI0031,2022-12-31 00:55:00,-1128.78,USD,1.08,-1045.17,Remboursement credit,PEA,Bordeaux-Meriadeck,Debit,Complete,559.0,Risque,10767.62,False,2022,12,4,5,-1045.17,High,7746.9,-99858.46,107605.36,16,-5756.97,8,4.59
12,TXN001870,CLI0038,2023-08-24 04:11:00,-193.06,USD,1.08,-178.76,Retrait DAB,Compte Epargne,Bordeaux-Meriadeck,Debit,Complete,516.0,Risque,17181.83,False,2023,8,3,3,-178.76,High,20116.73,-4866.39,24983.12,15,1016.69,6,4.59
13,TXN001124,CLI0134,2022-09-27 10:27:00,-199.89,USD,1.08,-185.08,Paiement CB,Compte Courant,Nice-Massena,Debit,Complete,600.0,Standard,40008.59,False,2022,9,3,1,-185.08,Meduim,3761.62,-12102.21,15863.83,11,-758.24,6,7.63
14,TXN000116,CLI0077,2024-11-09 17:31:03,-5728.17,EUR,1.0,-5728.17,Virement international,Compte Courant,Paris-Centre,Debit,Complete,322.0,Risque,33722.94,True,2024,11,4,5,-5728.17,High,8063.66,-8577.07,16640.73,11,-46.67,7,6.58
15,TXN000420,CLI0110,2023-11-06 14:34:00,83.25,CHF,0.97,85.82,Paiement CB,Credit Consommation,Toulouse-Capitole,Credit,Complete,629.0,Standard,15519.02,False,2023,11,4,0,85.82,Meduim,6110.28,-9263.51,15373.79,13,-242.56,5,6.81
16,TXN001683,CLI0080,2024-02-18 08:14:00,-642.99,USD,1.08,-595.36,Prelevement,Credit Consommation,Paris-Centre,Debit,En attente,645.0,Premium,36036.25,False,2024,2,1,6,-595.36,Meduim,2987.74,-7481.69,10469.43,6,-748.99,4,6.58
17,TXN001946,CLI0054,2022-09-24 14:46:00,-658.41,USD,1.08,-609.64,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,347.0,Standard,32208.9,True,2022,9,3,5,-609.64,High,10759.36,-13131.89,23891.25,15,-158.17,8,4.59
18,TXN001726,CLI0036,2024-08-08 12:19:00,962.1,MAD,10.85,88.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,14957.42,False,2024,8,3,3,88.67,High,9138.56,-9901.09,19039.65,18,-42.36,8,5.57
19,TXN001963,CLI0096,2022-05-02 03:39:00,-7100.94,EUR,1.0,-7100.94,Virement international,PEA,Lyon-Part-Dieu,Debit,Complete,710.0,Standard,39831.11,True,2022,5,2,0,-7100.94,Low,16337.27,-16773.56,33110.83,20,-21.81,8,4.01
20,TXN000886,CLI0128,2024-05-12 03:07:00,1385.72,MAD,10.85,127.72,Virement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,683.0,Standard,1161.31,False,2024,5,2,6,127.72,Meduim,19109.1,-18387.97,37497.07,17,42.42,5,5.57
21,TXN001448,CLI0141,2023-12-07 13:40:03,99999.99,EUR,1.0,264.77,Remboursement credit,Compte Courant,Lille-Grand-Place,Credit,Complete,726.0,Premium,40456.23,True,2023,12,4,3,99999.99,Low,106277.95,-20520.36,126798.31,15,5717.17,5,4.21
22,TXN001458,CLI0137,2023-02-04 06:12:00,-237.86,EUR,1.0,-237.86,Paiement CB,Credit Immobilier,Marseille-Vieux-Port,Debit,Rejete,725.0,Premium,15778.59,False,2023,2,1,5,-237.86,Low,11066.04,-7306.38,18372.42,16,234.98,6,5.57
23,TXN001369,CLI0026,2022-03-25 09:58:00,-2639.99,USD,1.08,-2444.44,Remboursement credit,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,2697.47,False,2022,3,1,4,-2444.44,Meduim,7402.41,-19772.24,27174.65,15,-824.66,7,4.21
24,TXN001394,CLI0041,2023-01-03 06:52:00,-120.35,USD,1.08,-111.44,Retrait DAB,Credit Auto,Bordeaux-Meriadeck,Debit,Complete,643.0,Standard,22528.4,False,2023,1,1,1,-111.44,Meduim,8137.39,-9671.61,17809.0,14,-109.59,7,4.59
25,TXN001278,CLI0122,2023-10-06 03:29:00,307.37,EUR,1.0,307.37,Virement,PEA,Nantes-Commerce,Credit,Complete,824.0,Premium,25404.97,False,2023,10,4,4,307.37,Low,22269.75,-17615.38,39885.13,22,211.56,8,8.5
26,TXN000663,CLI0020,2024-06-30 21:07:00,1091.33,CHF,0.97,1125.08,Virement,PEA,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,41973.38,False,2024,6,2,6,1125.08,Meduim,8083.12,-7490.22,15573.34,13,45.61,7,4.59
27,TXN001869,CLI0029,2022-05-21 15:53:00,-68.55,EUR,1.0,-68.55,Depot especes,Credit Consommation,Paris-Centre,Debit,Complete,696.0,Standard,49164.19,False,2022,5,2,5,-68.55,Meduim,-195527.2,-9335.62,-186191.58,12,-17071.9,5,6.58
28,TXN001810,CLI0097,2022-09-16 03:20:00,2734.98,USD,1.08,2532.39,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Complete,397.0,Risque,6932.66,True,2022,9,3,4,2532.39,High,13062.39,-1799.09,14861.48,8,1407.91,5,4.21
29,TXN000888,CLI0121,2024-04-30 23:19:00,860.29,GBP,0.86,1000.34,Prelevement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,38753.21,False,2024,4,2,1,1000.34,Meduim,14722.8,-9628.19,24350.99,15,339.64,7,5.57
30,TXN001557,CLI0022,2024-10-20 21:52:00,1791.77,EUR,1.0,1791.77,Depot especes,Compte Epargne,Toulouse-Capitole,Credit,Complete,787.0,Standard,25283.87,False,2024,10,4,6,1791.77,Low,16507.35,-207707.82,224215.17,16,-11950.03,8,6.81
31,TXN000334,CLI0020,2023-04-02 16:25:00,189.39,EUR,1.0,189.39,Paiement CB,Credit Auto,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,44369.88,False,2023,4,2,6,189.39,Meduim,8083.12,-7490.22,15573.34,13,45.61,7,4.59
32,TXN001842,CLI0131,2023-03-05 11:15:00,-2405.51,EUR,1.0,-2405.51,Remboursement credit,Compte Courant,Marseille-Vieux-Port,Debit,Complete,838.0,Premium,27273.18,False,2023,3,1,6,-2405.51,Low,8115.5,-16705.8,24821.3,16,-536.89,6,5.57
33,TXN001160,CLI0146,2022-02-26 22:38:00,255.59,CHF,0.97,263.49,Paiement CB,Credit Immobilier,Toulouse-Capitole,Credit,Rejete,583.0,Standard,10838.69,False,2022,2,1,5,263.49,Meduim,5345.14,-9446.45,14791.59,10,-410.13,5,6.81
34,TXN001311,CLI0046,2024-01-26 23:11:00,500.52,USD,1.08,463.44,Prelevement,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,841.0,Premium,16341.35,False,2024,1,1,4,463.44,Low,11423.34,-13471.35,24894.69,15,-136.53,6,4.59
35,TXN000947,CLI0036,2024-01-24 11:12:00,1062.22,EUR,1.0,1062.22,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,29472.01,False,2024,1,1,2,1062.22,High,9138.56,-9901.09,19039.65,18,-42.36,8,5.57
36,TXN000053,CLI0106,2024-03-27 13:46:00,-941.67,GBP,0.86,-1094.97,Virement international,Assurance Vie,Nantes-Commerce,Debit,Complete,652.0,Standard,7716.68,False,2024,3,1,2,-1094.97,Meduim,8443.8,-12556.27,21000.07,16,-257.03,8,8.5
37,TXN001762,CLI0065,2023-10-14 23:56:00,-7199.72,EUR,1.0,-7199.72,Virement international,Livret A,Bordeaux-Meriadeck,Debit,Complete,645.0,Standard,7191.04,True,2023,10,4,5,-7199.72,Meduim,16671.65,-13262.02,29933.67,19,179.45,8,4.59
38,TXN000837,CLI0096,2022-08-11 03:04:00,1119.97,EUR,1.0,1119.97,Remboursement credit,PEA,Lyon-Part-Dieu,Credit,Complete,710.0,Standard,14182.13,False,2022,8,3,3,1119.97,Low,16337.27,-16773.56,33110.83,20,-21.81,8,4.01
39,TXN001817,CLI0036,2022-08-25 16:20:00,4016.18,EUR,1.0,4016.18,Virement international,Credit Auto,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,16865.81,False,2022,8,3,3,4016.18,High,9138.56,-9901.09,19039.65,18,-42.36,8,5.57
40,TXN000464,CLI0028,2022-05-06 02:13:00,2460.25,EUR,1.0,2460.25,Remboursement credit,Compte Courant,Lyon-Part-Dieu,Credit,Complete,667.0,Standard,33077.98,False,2022,5,2,4,2460.25,Meduim,8268.69,-13421.15,21689.84,13,-396.34,6,4.01
41,TXN000917,CLI0045,2023-10-23 18:08:00,-2065.8,USD,1.08,-1912.78,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,10056.21,False,2023,10,4,0,-1912.78,Low,6754.81,-17480.49,24235.3,17,-630.92,7,4.59
42,TXN001905,CLI0028,2024-09-16 09:09:00,-80.27,EUR,1.0,-80.27,Paiement CB,Assurance Vie,Lyon-Part-Dieu,Debit,Complete,667.0,Standard,15449.22,False,2024,9,3,0,-80.27,Meduim,8268.69,-13421.15,21689.84,13,-396.34,6,4.01
43,TXN000219,CLI0061,2022-05-03 04:45:00,-875.48,EUR,1.0,-875.48,Remboursement credit,Credit Consommation,Marseille-Vieux-Port,Debit,En attente,341.0,Risque,26035.99,True,2022,5,2,1,-875.48,High,13005.45,-11666.45,24671.9,13,103.0,6,5.57
44,TXN001196,CLI0050,2024-04-16 11:41:00,-2593.81,CHF,0.97,-2674.03,Virement international,Credit Auto,Lyon-Part-Dieu,Debit,Complete,666.0,Standard,32646.65,False,2024,4,2,1,-2674.03,Meduim,7763.88,-7618.88,15382.76,12,12.08,7,4.01
45,TXN001542,CLI0113,2024-03-17 13:52:00,-91.48,GBP,0.86,-106.37,Paiement CB,Livret A,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,41551.58,False,2024,3,1,6,-106.37,Meduim,10861.24,-1871.0,12732.24,11,817.29,6,4.01
46,TXN000147,CLI0035,2023-02-21 10:41:00,-283.26,EUR,1.0,-283.26,Remboursement credit,PEA,Lyon-Part-Dieu,Debit,Complete,600.0,Standard,36256.78,False,2023,2,1,1,-283.26,Meduim,8105.85,-11146.26,19252.11,13,-233.88,7,4.01
47,TXN000320,CLI0113,2022-03-05 15:10:00,-1623.73,EUR,1.0,-1623.73,Remboursement credit,Compte Epargne,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,42488.43,False,2022,3,1,5,-1623.73,Meduim,10861.24,-1871.0,12732.24,11,817.29,6,4.01
48,TXN000133,CLI0076,2023-03-25 04:30:00,1394.85,EUR,1.0,1394.85,Virement international,PEA,Lyon-Part-Dieu,Credit,Complete,326.0,Risque,27506.8,True,2023,3,1,5,1394.85,High,161121.94,-17434.5,178556.44,16,8980.46,8,4.01
49,TXN001939,CLI0048,2024-07-07 13:27:00,-140.32,MAD,10.85,-12.93,Paiement CB,Compte Epargne,Toulouse-Capitole,Debit,Complete,670.0,Standard,7276.46,False,2024,7,3,6,-12.93,Meduim,6610.03,-4523.25,11133.28,15,139.12,6,6.81
50,TXN000685,CLI0142,2022-02-14 05:53:00,-145.66,EUR,1.0,-145.66,Retrait DAB,Credit Immobilier,Toulouse-Capitole,Debit,Complete,676.0,Standard,39391.96,False,2022,2,1,0,-145.66,Meduim,12751.54,-18286.75,31038.29,16,-345.95,7,6.81
51,TXN001752,CLI0045,2023-03-08 01:05:00,-471.95,EUR,1.0,-471.95,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,27850.82,False,2023,3,1,2,-471.95,Low,6754.81,-17480.49,24235.3,17,-630.92,7,4.59
52,TXN001247,CLI0067,2023-08-08 14:01:00,1364.35,EUR,1.0,1364.35,Remboursement credit,Compte Epargne,Paris-Centre,Credit,Complete,337.0,Risque,5723.41,True,2023,8,3,1,1364.35,High,10336.63,-7145.26,17481.89,10,319.14,6,6.58
53,TXN001403,CLI0057,2023-10-06 03:29:00,-2176.71,EUR,1.0,-2176.71,Prelevement,PEA,Nice-Massena,Debit,Complete,645.0,Risque,34098.81,False,2023,10,4,4,-2176.71,Meduim,1791.74,-5203.97,6995.71,9,-379.14,7,7.63
54,TXN000679,CLI0112,2022-10-26 04:30:00,-2607.66,EUR,1.0,-2607.66,Virement international,PEA,Marseille-Vieux-Port,Debit,Rejete,636.0,Standard,25932.26,False,2022,10,4,2,-2607.66,Meduim,16113.35,-12876.28,28989.63,17,190.42,7,5.57
55,TXN000212,CLI0020,2024-01-08 01:31:00,-2585.11,EUR,1.0,-2585.11,Interets,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,660.0,Standard,5234.96,False,2024,1,1,0,-2585.11,Meduim,8083.12,-7490.22,15573.34,13,45.61,7,4.59
56,TXN000383,CLI0140,2023-05-28 12:53:00,87.22,EUR,1.0,87.22,Interets,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,609.0,Standard,48751.11,False,2023,5,2,6,87.22,Meduim,6105.94,-7761.65,13867.59,11,-150.52,6,5.57
57,TXN001981,CLI0082,2024-03-13 05:35:00,-1440.39,EUR,1.0,-1440.39,Virement international,PEA,Paris-Centre,Debit,Complete,813.0,Premium,5403.85,False,2024,3,1,2,-1440.39,Low,8115.74,-5581.93,13697.67,12,211.15,5,6.58
58,TXN001527,CLI0090,2023-10-06 03:29:00,1982.71,GBP,0.86,2305.48,Remboursement credit,Credit Consommation,Nantes-Commerce,Credit,Complete,682.0,Standard,28486.62,False,2023,10,4,4,2305.48,Meduim,4860.32,-15284.51,20144.83,10,-1042.42,6,8.5
59,TXN000010,CLI0078,2022-08-31 17:48:00,1277.71,MAD,10.85,117.76,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,647.0,Standard,19080.86,False,2022,8,3,2,117.76,Meduim,4834.8,-9207.11,14041.91,15,-291.49,7,5.57
60,TXN001971,CLI0037,2024-05-21 03:28:00,-2435.52,CHF,0.97,-2510.85,Virement,Compte Courant,Lille-Grand-Place,Debit,Complete,622.0,Standard,8001.13,False,2024,5,2,1,-2510.85,Meduim,9013.98,-10260.38,19274.36,12,-103.87,6,4.21
61,TXN001461,CLI0082,2023-12-08 12:07:00,-611.64,EUR,1.0,-611.64,Depot especes,Assurance Vie,Paris-Centre,Debit,Complete,813.0,Premium,29668.5,False,2023,12,4,4,-611.64,Low,8115.74,-5581.93,13697.67,12,211.15,5,6.58
62,TXN001048,CLI0030,2024-08-27 22:21:00,2540.3,EUR,1.0,2540.3,Interets,Livret A,Lyon-Part-Dieu,Credit,Complete,391.0,Risque,49038.65,True,2024,8,3,1,2540.3,High,7049.03,-17196.73,24245.76,13,-780.59,6,4.01
63,TXN000027,CLI0129,2024-06-20 03:33:00,-7301.45,GBP,0.86,-8490.06,Virement international,Credit Immobilier,Paris-Centre,Debit,Complete,573.0,Risque,32773.59,True,2024,6,2,3,-8490.06,High,9067.51,-24536.95,33604.46,21,-736.64,8,6.58
64,TXN001732,CLI0144,2023-12-16 09:26:00,-5328.18,EUR,1.0,-5328.18,Virement international,PEA,Paris-Centre,Debit,Complete,361.0,Risque,43745.48,True,2023,12,4,5,-5328.18,High,9278.85,-16489.62,25768.47,16,-450.67,8,6.58
65,TXN000003,CLI0049,2024-04-12 15:35:00,2286.59,EUR,1.0,2286.59,Prelevement,Credit Auto,Lyon-Part-Dieu,Credit,Complete,593.0,Standard,960.44,False,2024,4,2,4,2286.59,Meduim,8840.7,-8327.91,17168.61,11,46.62,6,4.01
66,TXN000469,CLI0033,2022-02-02 04:46:00,2660.42,EUR,1.0,2660.42,Depot especes,Credit Immobilier,Lyon-Part-Dieu,Credit,Complete,584.0,Standard,32147.92,False,2022,2,1,2,2660.42,Meduim,4074.25,-11833.89,15908.14,10,-775.96,4,4.01
67,TXN001641,CLI0026,2024-03-05 03:38:00,-2959.53,USD,1.08,-2740.31,Interets,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,35237.56,False,2024,3,1,1,-2740.31,Meduim,7402.41,-19772.24,27174.65,15,-824.66,7,4.21
68,TXN000293,CLI0118,2024-07-06 02:54:00,-1520.45,GBP,0.86,-1767.97,Interets,Credit Auto,Lille-Grand-Place,Debit,Complete,641.0,Standard,986.68,False,2024,7,3,5,-1767.97,Meduim,20363.32,-7236.89,27600.21,13,1009.73,7,4.21
69,TXN000192,CLI0106,2022-09-17 22:55:03,-441.44,MAD,10.85,-40.69,Virement,PEA,Nantes-Commerce,Debit,Complete,652.0,Standard,38097.53,False,2022,9,3,5,-40.69,Meduim,8443.8,-12556.27,21000.07,16,-257.03,8,8.5
70,TXN000434,CLI0115,2022-08-29 04:12:00,21.7,EUR,1.0,21.7,Paiement CB,Compte Courant,Toulouse-Capitole,Credit,Complete,709.0,Standard,42785.01,False,2022,8,3,0,21.7,Low,5571.81,-4916.22,10488.03,10,65.56,7,6.81
71,TXN001885,CLI0100,2023-10-06 03:29:00,2967.53,EUR,1.0,2967.53,Virement,Compte Epargne,Lille-Grand-Place,Credit,Complete,656.0,Standard,12974.86,False,2023,10,4,4,2967.53,Meduim,14840.39,-17422.73,32263.12,21,-122.97,7,4.21
72,TXN000918,CLI0079,2024-08-02 17:11:00,1159.1,EUR,1.0,1159.1,Prelevement,Compte Epargne,Paris-Centre,Credit,Complete,689.0,Standard,26375.91,False,2024,8,3,4,1159.1,Meduim,10311.49,-11909.29,22220.78,14,-114.13,7,6.58
73,TXN000087,CLI0100,2022-02-03 11:50:00,-726.96,EUR,1.0,-726.96,Virement international,Livret A,Lille-Grand-Place,Debit,Complete,656.0,Standard,36785.83,False,2022,2,1,3,-726.96,Meduim,14840.39,-17422.73,32263.12,21,-122.97,7,4.21
74,TXN000310,CLI0040,2023-10-23 19:03:00,2332.3,EUR,1.0,2332.3,Virement,Assurance Vie,Nice-Massena,Credit,Complete,491.0,Risque,28676.58,False,2023,10,4,0,2332.3,High,15324.52,-7063.25,22387.77,19,434.8,7,7.63
75,TXN001126,CLI0124,2023-01-20 20:55:00,2460.12,GBP,0.86,2860.6,Interets,Credit Auto,Toulouse-Capitole,Credit,Rejete,585.0,Standard,22714.36,False,2023,1,1,4,2860.6,Meduim,11477.03,-15563.17,27040.2,12,-340.51,5,6.81
76,TXN000694,CLI0046,2022-06-05 11:57:00,293.13,EUR,1.0,293.13,Interets,Livret A,Bordeaux-Meriadeck,Credit,Complete,645.0,Premium,46337.64,False,2022,6,2,6,293.13,Meduim,11423.34,-13471.35,24894.69,15,-136.53,6,4.59
77,TXN001168,CLI0047,2022-07-18 21:58:00,-94.24,MAD,10.85,-8.69,Retrait DAB,Credit Immobilier,Lyon-Part-Dieu,Debit,En attente,397.0,Risque,35347.74,True,2022,7,3,0,-8.69,High,15084.56,-227748.13,242832.69,18,-11814.64,7,4.01
78,TXN000361,CLI0131,2022-09-20 01:33:00,-403.65,EUR,1.0,-403.65,Paiement CB,Compte Courant,Marseille-Vieux-Port,Debit,Complete,838.0,Premium,19746.47,False,2022,9,3,1,-403.65,Low,8115.5,-16705.8,24821.3,16,-536.89,6,5.57
79,TXN001729,CLI0070,2024-08-09 14:05:00,374.23,EUR,1.0,374.23,Remboursement credit,PEA,Nantes-Commerce,Credit,Complete,645.0,Risque,34827.68,False,2024,8,3,4,374.23,Meduim,207054.6,-4646.52,211701.12,13,15569.85,7,8.5
80,TXN001928,CLI0028,2022-06-02 00:20:00,-2581.55,EUR,1.0,-2581.55,Remboursement credit,Livret A,Bordeaux-Meriadeck,Debit,Complete,667.0,Standard,3656.29,False,2022,6,2,3,-2581.55,Meduim,8268.69,-13421.15,21689.84,13,-396.34,6,4.59
81,TXN000524,CLI0006,2022-02-15 07:53:00,474.78,EUR,1.0,474.78,Paiement CB,Compte Epargne,Toulouse-Capitole,Credit,Complete,620.0,Standard,32822.45,False,2022,2,1,1,474.78,Meduim,9470.72,-11996.7,21467.42,16,-157.87,6,6.81
82,TXN000112,CLI0111,2024-01-20 12:23:00,-183.47,CHF,0.97,-189.14,Depot especes,Credit Consommation,Paris-Centre,Debit,Complete,645.0,Standard,14501.22,False,2024,1,1,5,-189.14,Meduim,11440.45,-96652.75,108093.2,14,-6086.59,6,6.58
83,TXN001381,CLI0122,2023-12-14 09:41:00,-711.73,EUR,1.0,-711.73,Prelevement,Assurance Vie,Nantes-Commerce,Debit,Complete,824.0,Premium,48179.06,False,2023,12,4,3,-711.73,Low,22269.75,-17615.38,39885.13,22,211.56,8,8.5
84,TXN000619,CLI0111,2023-08-19 01:31:00,-88888.0,GBP,0.86,-1429.14,Remboursement credit,Credit Auto,Paris-Centre,Debit,Complete,617.0,Standard,3129.16,True,2023,8,3,5,-103358.14,Meduim,11440.45,-96652.75,108093.2,14,-6086.59,6,6.58
85,TXN001652,CLI0113,2023-05-10 15:32:00,837.81,EUR,1.0,837.81,Interets,Credit Consommation,Lyon-Part-Dieu,Credit,Complete,643.0,Standard,28556.77,False,2023,5,2,2,837.81,Meduim,10861.24,-1871.0,12732.24,11,817.29,6,4.01
86,TXN000775,CLI0053,2023-07-06 20:44:00,1954.44,EUR,1.0,1954.44,Prelevement,Credit Immobilier,Paris-Centre,Credit,Complete,645.0,Standard,7759.22,False,2023,7,3,3,1954.44,Meduim,11118.26,-7358.22,18476.48,15,250.67,7,6.58
87,TXN000317,CLI0040,2023-11-11 01:05:00,-266.08,EUR,1.0,-266.08,Virement,Assurance Vie,Nice-Massena,Debit,Complete,491.0,Risque,28790.62,False,2023,11,4,5,-266.08,High,15324.52,-7063.25,22387.77,19,434.8,7,7.63
88,TXN001770,CLI0041,2022-08-28 02:20:00,2775.98,EUR,1.0,2775.98,Depot especes,Compte Epargne,Bordeaux-Meriadeck,Credit,Complete,643.0,Standard,7666.57,False,2022,8,3,6,2775.98,Meduim,8137.39,-9671.61,17809.0,14,-109.59,7,4.59
89,TXN000765,CLI0104,2023-05-09 12:31:00,165.29,EUR,1.0,165.29,Retrait DAB,Credit Immobilier,Nantes-Commerce,Credit,Complete,645.0,Standard,18831.04,False,2023,5,2,1,165.29,Meduim,6398.64,-5049.57,11448.21,10,134.91,6,8.5
90,TXN000687,CLI0112,2022-09-25 06:12:00,1621.04,EUR,1.0,1621.04,Prelevement,PEA,Marseille-Vieux-Port,Credit,Complete,636.0,Standard,48851.38,False,2022,9,3,6,1621.04,Meduim,16113.35,-12876.28,28989.63,17,190.42,7,5.57
91,TXN001399,CLI0006,2024-02-09 17:29:00,465.08,EUR,1.0,465.08,Retrait DAB,Livret A,Toulouse-Capitole,Credit,Complete,620.0,Standard,6426.27,False,2024,2,1,4,465.08,Meduim,9470.72,-11996.7,21467.42,16,-157.87,6,6.81
92,TXN000233,CLI0045,2023-10-14 23:44:00,1108.41,EUR,1.0,1108.41,Depot especes,PEA,Bordeaux-Meriadeck,Credit,En attente,704.0,Standard,28223.96,False,2023,10,4,5,1108.41,Low,6754.81,-17480.49,24235.3,17,-630.92,7,4.59
93,TXN000836,CLI0015,2022-06-08 22:29:00,249.16,EUR,1.0,249.16,Retrait DAB,Compte Epargne,Lyon-Part-Dieu,Credit,Complete,648.0,Standard,8324.74,False,2022,6,2,2,249.16,Meduim,3752.75,-7055.3,10808.05,11,-300.23,5,4.01
94,TXN001595,CLI0100,2023-06-07 10:45:00,-324.96,GBP,0.86,-377.86,Retrait DAB,Credit Consommation,Lille-Grand-Place,Debit,Complete,656.0,Standard,27311.4,False,2023,6,2,2,-377.86,Meduim,14840.39,-17422.73,32263.12,21,-122.97,7,4.21
95,TXN000262,CLI0055,2023-02-28 08:41:00,-216.56,EUR,1.0,-216.56,Retrait DAB,Compte Courant,Bordeaux-Meriadeck,Debit,Complete,703.0,Standard,6702.47,False,2023,2,1,1,-216.56,Low,8433.7,92017.37,-83583.67,16,6278.19,8,4.59
96,TXN001715,CLI0131,2023-04-15 18:53:00,365.65,USD,1.08,338.56,Paiement CB,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,838.0,Premium,36551.83,False,2023,4,2,5,338.56,Low,8115.5,-16705.8,24821.3,16,-536.89,6,5.57
97,TXN000820,CLI0140,2022-04-02 03:34:00,-925.38,EUR,1.0,-925.38,Prelevement,Compte Epargne,Marseille-Vieux-Port,Debit,Complete,609.0,Standard,45617.13,False,2022,4,2,5,-925.38,Meduim,6105.94,-7761.65,13867.59,11,-150.52,6,5.57
